State_Name,District_Name,Crop_Year,Season,Crop,Area,Rainfall_mm,Production,Yield_kg_per_ha
Punjab,Ludhiana,2010,Rainy,Tur,3571.8,737.7,3119.52,873.4
Punjab,Ludhiana,2010,Rainy,Jute,6421.6,688.6,18765.69,2922.3
Punjab,Ludhiana,2010,Whole Year,Banana,4107.6,640.2,209536.42,51011.5
Punjab,Ludhiana,2010,Winter,Onion,4659.1,165.2,70964.0,15231.3
Punjab,Ludhiana,2010,Rainy,Onion,1982.2,647.1,33320.38,16809.9
Punjab,Ludhiana,2010,Winter,Potato,2898.6,136.2,70495.94,24320.9
Punjab,Ludhiana,2010,Summer,Moong,8122.5,63.0,6188.85,761.9
Punjab,Ludhiana,2010,Rainy,Moong,12011.0,630.3,10485.98,873.0
Punjab,Ludhiana,2011,Rainy,Rice,7382.0,730.2,22305.45,3021.6
Punjab,Ludhiana,2011,Winter,Wheat,8970.0,155.8,35291.03,3934.3
Punjab,Ludhiana,2011,Rainy,Maize,8362.0,584.9,29569.63,3536.2
Punjab,Ludhiana,2011,Winter,Maize,15507.4,238.0,47692.83,3075.5
Punjab,Ludhiana,2011,Summer,Maize,2146.2,90.0,7000.95,3262.0
Punjab,Ludhiana,2011,Whole Year,Sugarcane,5670.5,668.9,450510.89,79447.7
Punjab,Ludhiana,2011,Rainy,Cotton(lint),80.0,610.8,43.13,539.1
Punjab,Ludhiana,2011,Rainy,Jowar,5882.2,586.3,6080.22,1033.7
Punjab,Ludhiana,2011,Winter,Jowar,969.1,159.7,941.15,971.2
Punjab,Ludhiana,2011,Rainy,Bajra,2850.3,777.8,2711.59,951.3
Punjab,Ludhiana,2011,Rainy,Groundnut,19620.3,760.2,29981.89,1528.1
Punjab,Ludhiana,2011,Winter,Groundnut,9366.2,151.5,18889.01,2016.7
Punjab,Ludhiana,2011,Summer,Groundnut,7018.9,71.8,12634.29,1800.0
Punjab,Ludhiana,2011,Rainy,Soyabean,6495.4,676.1,9202.76,1416.8
Punjab,Ludhiana,2011,Winter,Mustard,7047.3,121.3,10010.21,1420.4
Punjab,Ludhiana,2011,Winter,Gram,5778.7,169.5,7626.38,1319.7
Punjab,Ludhiana,2011,Rainy,Tur,8621.7,710.8,8662.92,1004.8
Punjab,Ludhiana,2011,Rainy,Jute,8000.3,653.2,21892.51,2736.4
Punjab,Ludhiana,2011,Whole Year,Banana,3324.9,669.0,182419.14,54864.8
Punjab,Ludhiana,2011,Winter,Onion,4194.5,209.7,74663.47,17800.2
Punjab,Ludhiana,2011,Rainy,Onion,5644.1,583.3,111470.07,19750.0
Punjab,Ludhiana,2011,Winter,Potato,359.7,176.9,8970.3,24935.1
Punjab,Ludhiana,2011,Summer,Moong,3558.3,109.3,2850.27,801.0
Punjab,Ludhiana,2011,Rainy,Moong,8209.9,665.8,6693.5,815.3
Punjab,Ludhiana,2012,Rainy,Rice,6992.1,643.8,23204.12,3318.6
Punjab,Ludhiana,2012,Winter,Wheat,80.0,206.6,304.94,3811.8
Punjab,Ludhiana,2012,Rainy,Maize,9184.0,660.6,31241.79,3401.8
Punjab,Ludhiana,2012,Winter,Maize,9312.0,109.8,36538.49,3923.8
Punjab,Ludhiana,2012,Summer,Maize,11455.3,57.6,36118.51,3153.0
Punjab,Ludhiana,2012,Whole Year,Sugarcane,1604.8,646.3,134182.22,83614.0
Punjab,Ludhiana,2012,Rainy,Cotton(lint),10330.6,728.0,6761.42,654.5
Punjab,Ludhiana,2012,Rainy,Jowar,9756.3,720.6,13224.4,1355.5
Punjab,Ludhiana,2012,Winter,Jowar,11312.0,175.7,12668.01,1119.9
Punjab,Ludhiana,2012,Rainy,Bajra,5210.3,654.0,6188.92,1187.8
Punjab,Ludhiana,2012,Rainy,Groundnut,11129.4,579.3,18908.61,1699.0
Punjab,Ludhiana,2012,Winter,Groundnut,11003.5,197.6,22721.98,2065.0
Punjab,Ludhiana,2012,Summer,Groundnut,1711.8,116.5,2974.0,1737.3
Punjab,Ludhiana,2012,Rainy,Soyabean,5926.9,579.7,9790.0,1651.8
Punjab,Ludhiana,2012,Winter,Mustard,5204.3,181.6,7029.52,1350.7
Punjab,Ludhiana,2012,Winter,Gram,3133.8,163.5,3723.42,1188.2
Punjab,Ludhiana,2012,Rainy,Tur,12621.2,668.7,13132.58,1040.5
Punjab,Ludhiana,2012,Rainy,Jute,9217.5,512.5,26729.28,2899.9
Punjab,Ludhiana,2012,Whole Year,Banana,6409.2,674.8,233549.01,36439.8
Punjab,Ludhiana,2012,Winter,Onion,4563.6,144.8,74748.26,16379.1
Punjab,Ludhiana,2012,Rainy,Onion,4163.0,738.6,88652.79,21295.2
Punjab,Ludhiana,2012,Winter,Potato,4964.8,145.4,125898.85,25358.4
Punjab,Ludhiana,2012,Summer,Moong,8937.6,103.6,7804.39,873.2
Punjab,Ludhiana,2012,Rainy,Moong,7409.9,598.2,6169.93,832.7
Punjab,Ludhiana,2013,Rainy,Rice,11999.3,673.0,35592.12,2966.2
Punjab,Ludhiana,2013,Winter,Wheat,13925.8,158.7,51041.5,3665.2
Punjab,Ludhiana,2013,Rainy,Maize,8809.2,600.7,33888.08,3846.9
Punjab,Ludhiana,2013,Winter,Maize,13315.8,162.8,51621.96,3876.7
Punjab,Ludhiana,2013,Summer,Maize,10216.5,119.4,44904.32,4395.3
Punjab,Ludhiana,2013,Whole Year,Sugarcane,50.0,637.7,5071.6,101431.9
Punjab,Ludhiana,2013,Rainy,Cotton(lint),8431.5,622.5,5354.15,635.0
Punjab,Ludhiana,2013,Rainy,Jowar,2993.4,553.9,2902.94,969.8
Punjab,Ludhiana,2013,Winter,Jowar,9758.5,138.7,11859.91,1215.3
Punjab,Ludhiana,2013,Rainy,Bajra,2348.9,666.6,1975.66,841.1
Punjab,Ludhiana,2013,Rainy,Groundnut,6112.9,653.3,11308.38,1849.9
Punjab,Ludhiana,2013,Winter,Groundnut,8553.0,183.6,16315.4,1907.6
Punjab,Ludhiana,2013,Summer,Groundnut,10120.3,103.5,16672.99,1647.5
Punjab,Ludhiana,2013,Rainy,Soyabean,8787.1,639.2,13927.12,1585.0
Punjab,Ludhiana,2013,Winter,Mustard,10084.7,150.7,14860.45,1473.6
Punjab,Ludhiana,2013,Winter,Gram,11318.1,159.0,11661.87,1030.4
Punjab,Ludhiana,2013,Rainy,Tur,2071.3,572.2,1560.93,753.6
Punjab,Ludhiana,2013,Rainy,Jute,10997.7,609.3,32017.52,2911.3
Punjab,Ludhiana,2013,Whole Year,Banana,5460.6,661.9,286967.87,52552.5
Punjab,Ludhiana,2013,Winter,Onion,5936.5,160.4,118676.07,19991.1
Punjab,Ludhiana,2013,Rainy,Onion,2430.1,599.8,40847.74,16809.2
Punjab,Ludhiana,2013,Winter,Potato,2855.6,135.9,71139.51,24912.5
Punjab,Ludhiana,2013,Summer,Moong,2471.3,142.2,2160.51,874.3
Punjab,Ludhiana,2013,Rainy,Moong,9898.8,587.6,8345.75,843.1
Punjab,Ludhiana,2014,Rainy,Rice,11713.2,540.1,35846.4,3060.3
Punjab,Ludhiana,2014,Winter,Wheat,3721.0,146.5,13854.51,3723.3
Punjab,Ludhiana,2014,Rainy,Maize,7243.0,675.7,27065.35,3736.7
Punjab,Ludhiana,2014,Winter,Maize,13282.6,173.4,46444.61,3496.6
Punjab,Ludhiana,2014,Summer,Maize,12268.9,59.1,39758.33,3240.6
Punjab,Ludhiana,2014,Whole Year,Sugarcane,4190.1,716.9,367322.0,87664.7
Punjab,Ludhiana,2014,Rainy,Cotton(lint),15804.1,670.9,10879.69,688.4
Punjab,Ludhiana,2014,Rainy,Jowar,8640.8,654.2,11281.44,1305.6
Punjab,Ludhiana,2014,Winter,Jowar,9332.3,137.1,10861.47,1163.9
Punjab,Ludhiana,2014,Rainy,Bajra,4666.5,668.8,4341.62,930.4
Punjab,Ludhiana,2014,Rainy,Groundnut,3530.5,525.6,5899.51,1671.0
Punjab,Ludhiana,2014,Winter,Groundnut,15748.9,153.7,31158.36,1978.4
Punjab,Ludhiana,2014,Summer,Groundnut,9390.8,72.5,15590.08,1660.1
Punjab,Ludhiana,2014,Rainy,Soyabean,8741.3,632.9,13740.69,1571.9
Punjab,Ludhiana,2014,Winter,Mustard,12255.4,152.3,16627.89,1356.8
Punjab,Ludhiana,2014,Winter,Gram,18390.7,162.7,24489.95,1331.6
Punjab,Ludhiana,2014,Rainy,Tur,8366.1,736.0,8889.04,1062.5
Punjab,Ludhiana,2014,Rainy,Jute,7318.4,646.6,20576.13,2811.6
Punjab,Ludhiana,2014,Whole Year,Banana,1967.2,675.8,98544.85,50093.1
Punjab,Ludhiana,2014,Winter,Onion,4159.8,195.1,81005.24,19473.6
Punjab,Ludhiana,2014,Rainy,Onion,2944.4,677.2,64630.75,21950.5
Punjab,Ludhiana,2014,Winter,Potato,2895.9,107.6,52905.91,18269.2
Punjab,Ludhiana,2014,Summer,Moong,13455.4,58.6,12191.72,906.1
Punjab,Ludhiana,2014,Rainy,Moong,1990.0,606.8,1211.92,609.0
Punjab,Ludhiana,2015,Rainy,Rice,17681.7,617.4,62100.43,3512.1
Punjab,Ludhiana,2015,Winter,Wheat,9860.3,145.7,33509.17,3398.4
Punjab,Ludhiana,2015,Rainy,Maize,8397.9,632.2,30339.72,3612.8
Punjab,Ludhiana,2015,Winter,Maize,9378.6,186.2,36624.75,3905.1
Punjab,Ludhiana,2015,Summer,Maize,11591.3,79.6,48152.96,4154.2
Punjab,Ludhiana,2015,Whole Year,Sugarcane,1902.1,591.8,191321.52,100581.8
Punjab,Ludhiana,2015,Rainy,Cotton(lint),13615.3,638.5,7483.59,549.6
Punjab,Ludhiana,2015,Rainy,Jowar,8525.9,737.3,10439.56,1224.4
Punjab,Ludhiana,2015,Winter,Jowar,6552.9,209.4,7043.89,1074.9
Punjab,Ludhiana,2015,Rainy,Bajra,9809.3,623.1,9234.76,941.4
Punjab,Ludhiana,2015,Rainy,Groundnut,5844.9,688.2,11809.35,2020.4
Punjab,Ludhiana,2015,Winter,Groundnut,4853.7,90.7,6726.1,1385.8
Punjab,Ludhiana,2015,Summer,Groundnut,8990.7,76.0,15558.99,1730.6
Punjab,Ludhiana,2015,Rainy,Soyabean,7363.3,634.8,11248.29,1527.6
Punjab,Ludhiana,2015,Winter,Mustard,10827.4,132.2,17739.03,1638.3
Punjab,Ludhiana,2015,Winter,Gram,10226.1,174.1,13891.14,1358.4
Punjab,Ludhiana,2015,Rainy,Tur,7651.6,772.1,7521.04,982.9
Punjab,Ludhiana,2015,Rainy,Jute,3870.9,604.8,10376.68,2680.7
Punjab,Ludhiana,2015,Whole Year,Banana,3372.8,596.7,163886.12,48590.9
Punjab,Ludhiana,2015,Winter,Onion,2122.0,164.0,46900.63,22101.7
Punjab,Ludhiana,2015,Rainy,Onion,3212.6,694.4,60981.42,18981.8
Punjab,Ludhiana,2015,Winter,Potato,3838.4,179.0,78375.9,20419.2
Punjab,Ludhiana,2015,Summer,Moong,9048.1,95.7,7225.08,798.5
Punjab,Ludhiana,2015,Rainy,Moong,2180.7,661.4,2171.93,996.0
Punjab,Ludhiana,2016,Rainy,Rice,6989.9,724.9,24891.22,3561.0
Punjab,Ludhiana,2016,Winter,Wheat,3374.6,90.2,12613.47,3737.8
Punjab,Ludhiana,2016,Rainy,Maize,10857.6,585.7,47650.29,4388.7
Punjab,Ludhiana,2016,Winter,Maize,4650.1,127.2,17082.4,3673.5
Punjab,Ludhiana,2016,Summer,Maize,3110.5,139.4,11425.64,3673.2
Punjab,Ludhiana,2016,Whole Year,Sugarcane,526.8,759.3,41656.27,79069.1
Punjab,Ludhiana,2016,Rainy,Cotton(lint),5917.6,624.6,3715.5,627.9
Punjab,Ludhiana,2016,Rainy,Jowar,900.2,664.5,1141.27,1267.9
Punjab,Ludhiana,2016,Winter,Jowar,13097.8,145.2,14704.98,1122.7
Punjab,Ludhiana,2016,Rainy,Bajra,10164.5,611.8,12337.13,1213.7
Punjab,Ludhiana,2016,Rainy,Groundnut,1257.6,676.9,2427.35,1930.1
Punjab,Ludhiana,2016,Winter,Groundnut,8941.1,131.5,13731.23,1535.7
Punjab,Ludhiana,2016,Summer,Groundnut,4773.6,109.1,7628.78,1598.1
Punjab,Ludhiana,2016,Rainy,Soyabean,8966.6,692.8,12795.41,1427.0
Punjab,Ludhiana,2016,Winter,Mustard,6237.4,206.0,9798.55,1570.9
Punjab,Ludhiana,2016,Winter,Gram,5521.3,170.6,7709.47,1396.3
Punjab,Ludhiana,2016,Rainy,Tur,6353.4,618.0,7378.02,1161.3
Punjab,Ludhiana,2016,Rainy,Jute,80.0,587.6,286.42,3580.3
Punjab,Ludhiana,2016,Whole Year,Banana,2770.5,803.0,106775.36,38539.9
Punjab,Ludhiana,2016,Winter,Onion,2984.8,153.2,59819.26,20041.3
Punjab,Ludhiana,2016,Rainy,Onion,4543.2,583.2,97345.34,21426.6
Punjab,Ludhiana,2016,Winter,Potato,4758.6,117.7,134994.06,28368.7
Punjab,Ludhiana,2016,Summer,Moong,6650.7,102.0,5828.01,876.3
Punjab,Ludhiana,2016,Rainy,Moong,1077.3,686.9,973.58,903.7
Punjab,Ludhiana,2017,Rainy,Rice,15391.3,626.6,52118.61,3386.2
Punjab,Ludhiana,2017,Winter,Wheat,3585.0,212.5,15622.97,4357.8
Punjab,Ludhiana,2017,Rainy,Maize,4523.8,669.2,17209.12,3804.1
Punjab,Ludhiana,2017,Winter,Maize,6704.8,198.9,20760.97,3096.4
Punjab,Ludhiana,2017,Summer,Maize,4390.3,97.0,15819.06,3603.2
Punjab,Ludhiana,2017,Whole Year,Sugarcane,429.8,645.1,32955.95,76672.8
Punjab,Ludhiana,2017,Rainy,Cotton(lint),5909.1,678.9,2589.5,438.2
Punjab,Ludhiana,2017,Rainy,Jowar,9089.5,697.1,10298.28,1133.0
Punjab,Ludhiana,2017,Winter,Jowar,11343.2,123.0,14026.73,1236.6
Punjab,Ludhiana,2017,Rainy,Bajra,9680.8,793.0,11483.91,1186.3
Punjab,Ludhiana,2017,Rainy,Groundnut,11267.1,640.0,22105.95,1962.0
Punjab,Ludhiana,2017,Winter,Groundnut,5914.7,200.1,10438.26,1764.8
Punjab,Ludhiana,2017,Summer,Groundnut,11163.2,85.0,23450.45,2100.7
Punjab,Ludhiana,2017,Rainy,Soyabean,6300.9,622.5,9929.81,1575.9
Punjab,Ludhiana,2017,Winter,Mustard,11808.2,155.1,14495.51,1227.6
Punjab,Ludhiana,2017,Winter,Gram,4870.3,137.7,4987.4,1024.0
Punjab,Ludhiana,2017,Rainy,Tur,4339.4,592.2,4380.78,1009.5
Punjab,Ludhiana,2017,Rainy,Jute,7019.8,716.8,19932.75,2839.5
Punjab,Ludhiana,2017,Whole Year,Banana,5388.5,646.6,235454.52,43695.6
Punjab,Ludhiana,2017,Winter,Onion,4505.4,135.2,90083.73,19994.7
Punjab,Ludhiana,2017,Rainy,Onion,3475.4,688.8,77192.19,22210.8
Punjab,Ludhiana,2017,Winter,Potato,3478.2,131.4,81851.37,23532.4
Punjab,Ludhiana,2017,Summer,Moong,1746.1,65.9,1624.21,930.2
Punjab,Ludhiana,2017,Rainy,Moong,3910.9,628.9,3471.67,887.7
Punjab,Ludhiana,2018,Rainy,Rice,80.0,717.7,238.88,2986.1
Punjab,Ludhiana,2018,Winter,Wheat,13844.7,134.8,58833.54,4249.5
Punjab,Ludhiana,2018,Rainy,Maize,3439.4,696.0,11555.0,3359.6
Punjab,Ludhiana,2018,Winter,Maize,8233.1,175.9,32862.36,3991.5
Punjab,Ludhiana,2018,Summer,Maize,9112.6,92.6,34785.62,3817.3
Punjab,Ludhiana,2018,Whole Year,Sugarcane,4952.6,696.7,385066.16,77750.1
Punjab,Ludhiana,2018,Rainy,Cotton(lint),12007.0,515.2,7825.23,651.7
Punjab,Ludhiana,2018,Rainy,Jowar,560.7,588.8,693.72,1237.3
Punjab,Ludhiana,2018,Winter,Jowar,15190.4,190.4,19687.81,1296.1
Punjab,Ludhiana,2018,Rainy,Bajra,4427.5,627.7,5113.33,1154.9
Punjab,Ludhiana,2018,Rainy,Groundnut,3939.7,632.0,8853.08,2247.1
Punjab,Ludhiana,2018,Winter,Groundnut,12544.2,216.1,21040.09,1677.3
Punjab,Ludhiana,2018,Summer,Groundnut,10558.5,119.7,20568.76,1948.1
Punjab,Ludhiana,2018,Rainy,Soyabean,10541.5,725.0,17595.7,1669.2
Punjab,Ludhiana,2018,Winter,Mustard,9363.2,181.6,12357.93,1319.8
Punjab,Ludhiana,2018,Winter,Gram,5775.2,165.0,6856.9,1187.3
Punjab,Ludhiana,2018,Rainy,Tur,14916.0,750.9,17769.14,1191.3
Punjab,Ludhiana,2018,Rainy,Jute,13402.5,665.3,42838.71,3196.3
Punjab,Ludhiana,2018,Whole Year,Banana,1531.8,662.2,78067.75,50966.3
Punjab,Ludhiana,2018,Winter,Onion,1155.2,164.3,24079.46,20843.9
Punjab,Ludhiana,2018,Rainy,Onion,6735.6,645.2,153619.94,22807.1
Punjab,Ludhiana,2018,Winter,Potato,3947.8,162.8,97652.36,24735.8
Punjab,Ludhiana,2018,Summer,Moong,3670.3,92.2,3271.52,891.4
Punjab,Ludhiana,2018,Rainy,Moong,2998.7,605.2,2850.25,950.5
Punjab,Ludhiana,2019,Rainy,Rice,853.2,673.5,2985.53,3499.3
Punjab,Ludhiana,2019,Winter,Wheat,12236.9,192.4,57159.76,4671.1
Punjab,Ludhiana,2019,Rainy,Maize,4619.8,652.3,15709.16,3400.4
Punjab,Ludhiana,2019,Winter,Maize,9517.1,172.8,41069.23,4315.3
Punjab,Ludhiana,2019,Summer,Maize,7471.1,126.1,24745.05,3312.1
Punjab,Ludhiana,2019,Whole Year,Sugarcane,3891.0,630.9,355557.56,91379.1
Punjab,Ludhiana,2019,Rainy,Cotton(lint),9011.5,615.3,5127.12,569.0
Punjab,Ludhiana,2019,Rainy,Jowar,9245.8,612.3,11014.04,1191.2
Punjab,Ludhiana,2019,Winter,Jowar,9092.8,169.8,10038.73,1104.0
Punjab,Ludhiana,2019,Rainy,Bajra,13751.1,621.1,14164.17,1030.0
Punjab,Ludhiana,2019,Rainy,Groundnut,552.6,523.0,1024.3,1853.5
Punjab,Ludhiana,2019,Winter,Groundnut,7529.6,163.4,15949.27,2118.2
Punjab,Ludhiana,2019,Summer,Groundnut,9583.7,50.0,18991.88,1981.7
Punjab,Ludhiana,2019,Rainy,Soyabean,6480.8,582.3,9293.5,1434.0
Punjab,Ludhiana,2019,Winter,Mustard,6695.0,135.7,12296.56,1836.7
Punjab,Ludhiana,2019,Winter,Gram,6656.2,217.6,10812.51,1624.4
Punjab,Ludhiana,2019,Rainy,Tur,15014.8,652.1,15744.2,1048.6
Punjab,Ludhiana,2019,Rainy,Jute,9461.9,657.9,40205.33,4249.2
Punjab,Ludhiana,2019,Whole Year,Banana,2226.9,701.1,121282.11,54461.7
Punjab,Ludhiana,2019,Winter,Onion,2618.4,151.6,60231.1,23002.6
Punjab,Ludhiana,2019,Rainy,Onion,4001.4,651.9,84823.93,21198.4
Punjab,Ludhiana,2019,Winter,Potato,4264.9,172.6,85720.55,20098.9
Punjab,Ludhiana,2019,Summer,Moong,4071.9,114.8,3197.87,785.3
Punjab,Ludhiana,2019,Rainy,Moong,8335.9,646.5,7112.21,853.2
Punjab,Ludhiana,2020,Rainy,Rice,2631.3,699.9,9051.65,3440.0
Punjab,Ludhiana,2020,Winter,Wheat,7813.7,145.0,34119.19,4366.6
Punjab,Ludhiana,2020,Rainy,Maize,10897.1,589.5,41900.21,3845.1
Punjab,Ludhiana,2020,Winter,Maize,165.6,105.7,599.94,3622.1
Punjab,Ludhiana,2020,Summer,Maize,7586.3,91.8,29013.5,3824.5
Punjab,Ludhiana,2020,Whole Year,Sugarcane,5205.8,663.5,437696.11,84079.0
Punjab,Ludhiana,2020,Rainy,Cotton(lint),3626.7,579.7,2248.48,620.0
Punjab,Ludhiana,2020,Rainy,Jowar,6274.6,724.7,5927.65,944.7
Punjab,Ludhiana,2020,Winter,Jowar,4667.9,111.4,5384.17,1153.5
Punjab,Ludhiana,2020,Rainy,Bajra,8154.3,625.5,9307.54,1141.4
Punjab,Ludhiana,2020,Rainy,Groundnut,5295.9,713.0,9260.8,1748.7
Punjab,Ludhiana,2020,Winter,Groundnut,1857.4,176.9,3692.9,1988.2
Punjab,Ludhiana,2020,Summer,Groundnut,7410.2,100.2,16408.51,2214.3
Punjab,Ludhiana,2020,Rainy,Soyabean,16241.2,612.7,25009.47,1539.9
Punjab,Ludhiana,2020,Winter,Mustard,8279.7,124.2,11927.78,1440.6
Punjab,Ludhiana,2020,Winter,Gram,9588.1,139.9,13950.95,1455.0
Punjab,Ludhiana,2020,Rainy,Tur,11949.6,612.7,14215.34,1189.6
Punjab,Ludhiana,2020,Rainy,Jute,10117.7,736.2,37567.19,3713.0
Punjab,Ludhiana,2020,Whole Year,Banana,2927.8,537.2,130803.17,44676.7
Punjab,Ludhiana,2020,Winter,Onion,2471.4,166.1,52029.4,21052.7
Punjab,Ludhiana,2020,Rainy,Onion,3194.5,762.9,71237.5,22300.0
Punjab,Ludhiana,2020,Winter,Potato,3636.3,155.5,91348.16,25121.3
Punjab,Ludhiana,2020,Summer,Moong,12661.2,109.2,13689.86,1081.2
Punjab,Ludhiana,2020,Rainy,Moong,10358.2,668.6,8501.48,820.8
Punjab,Ludhiana,2021,Rainy,Rice,11761.2,644.7,46084.61,3918.4
Punjab,Ludhiana,2021,Winter,Wheat,11545.6,168.8,52430.99,4541.2
Punjab,Ludhiana,2021,Rainy,Maize,9157.4,722.0,34495.14,3766.9
Punjab,Ludhiana,2021,Winter,Maize,80.0,172.6,324.28,4053.5
Punjab,Ludhiana,2021,Summer,Maize,1106.1,50.0,4038.66,3651.1
Punjab,Ludhiana,2021,Whole Year,Sugarcane,1407.6,678.7,125096.11,88870.1
Punjab,Ludhiana,2021,Rainy,Cotton(lint),6063.9,732.2,4568.05,753.3
Punjab,Ludhiana,2021,Rainy,Jowar,9632.1,649.9,14219.91,1476.3
Punjab,Ludhiana,2021,Winter,Jowar,3990.6,166.4,5019.57,1257.8
